epoch,total_acc,split_acc,loss,avg_margin,total_acc:g0,total_acc:g1,total_acc:g2,total_acc:g3,group0_acc,group1_acc,group2_acc,group3_acc,group0_margin,group1_margin,group2_margin,group3_margin
66,0.9341,0.9341,0.0738,0.9691,0.9762,0.9969,0.6642,0.1853,0.9762,0.9969,0.6642,0.1853,1.0919,1.2017,0.0204,-0.9327
67,0.9339,0.9339,0.0736,0.9676,0.9755,0.9967,0.6661,0.1795,0.9755,0.9967,0.6661,0.1795,1.0912,1.1995,0.0179,-0.9308
68,0.9335,0.9335,0.0742,0.9702,0.9752,0.9967,0.6647,0.1738,0.9752,0.9967,0.6647,0.1738,1.0927,1.2025,0.0204,-0.8943
69,0.9345,0.9345,0.0751,0.9705,0.9764,0.9966,0.6680,0.1802,0.9764,0.9966,0.6680,0.1802,1.0945,1.2010,0.0230,-0.9194
70,0.9339,0.9339,0.0726,0.9688,0.9758,0.9969,0.6644,0.1795,0.9758,0.9969,0.6644,0.1795,1.0924,1.1999,0.0204,-0.9134
71,0.9340,0.9340,0.0748,0.9717,0.9763,0.9968,0.6642,0.1702,0.9763,0.9968,0.6642,0.1702,1.0960,1.2026,0.0233,-0.9359
72,0.9344,0.9344,0.0742,0.9700,0.9764,0.9967,0.6667,0.1759,0.9764,0.9967,0.6667,0.1759,1.0932,1.2006,0.0245,-0.9132
73,0.9335,0.9335,0.0735,0.9682,0.9764,0.9967,0.6608,0.1752,0.9764,0.9967,0.6608,0.1752,1.0928,1.1994,0.0168,-0.9176
74,0.9339,0.9339,0.0748,0.9696,0.9763,0.9967,0.6639,0.1723,0.9763,0.9967,0.6639,0.1723,1.0942,1.2006,0.0186,-0.9165
75,0.9340,0.9340,0.0726,0.9703,0.9758,0.9969,0.6653,0.1752,0.9758,0.9969,0.6653,0.1752,1.0928,1.2019,0.0242,-0.9241
76,0.9336,0.9336,0.0737,0.9709,0.9752,0.9966,0.6650,0.1738,0.9752,0.9966,0.6650,0.1738,1.0940,1.2019,0.0241,-0.9058
77,0.9341,0.9341,0.0746,0.9721,0.9754,0.9964,0.6684,0.1766,0.9754,0.9964,0.6684,0.1766,1.0956,1.2028,0.0257,-0.9153
78,0.9342,0.9342,0.0751,0.9719,0.9758,0.9969,0.6666,0.1752,0.9758,0.9969,0.6666,0.1752,1.0938,1.2048,0.0252,-0.9286
79,0.9339,0.9339,0.0760,0.9708,0.9758,0.9964,0.6657,0.1860,0.9758,0.9964,0.6657,0.1860,1.0938,1.2027,0.0225,-0.9211
80,0.9337,0.9337,0.0737,0.9700,0.9759,0.9968,0.6635,0.1687,0.9759,0.9968,0.6635,0.1687,1.0944,1.2018,0.0174,-0.9127
81,0.9340,0.9340,0.0745,0.9714,0.9756,0.9970,0.6662,0.1687,0.9756,0.9970,0.6662,0.1687,1.0936,1.2039,0.0241,-0.9299
82,0.9337,0.9337,0.0746,0.9711,0.9758,0.9968,0.6632,0.1774,0.9758,0.9968,0.6632,0.1774,1.0939,1.2028,0.0236,-0.9110
83,0.9343,0.9343,0.0753,0.9740,0.9758,0.9967,0.6686,0.1637,0.9758,0.9967,0.6686,0.1637,1.0955,1.2063,0.0298,-0.9216
84,0.9339,0.9339,0.0743,0.9721,0.9759,0.9964,0.6655,0.1788,0.9759,0.9964,0.6655,0.1788,1.0941,1.2036,0.0276,-0.9143
85,0.9341,0.9341,0.0750,0.9719,0.9756,0.9968,0.6670,0.1781,0.9756,0.9968,0.6670,0.1781,1.0940,1.2042,0.0247,-0.9138
86,0.9336,0.9336,0.0755,0.9716,0.9757,0.9967,0.6632,0.1788,0.9757,0.9967,0.6632,0.1788,1.0947,1.2052,0.0185,-0.9272
87,0.9340,0.9340,0.0731,0.9719,0.9756,0.9965,0.6677,0.1673,0.9756,0.9965,0.6677,0.1673,1.0934,1.2042,0.0273,-0.9199
88,0.9344,0.9344,0.0755,0.9740,0.9755,0.9967,0.6699,0.1745,0.9755,0.9967,0.6699,0.1745,1.0969,1.2047,0.0305,-0.9323
89,0.9346,0.9346,0.0737,0.9747,0.9757,0.9969,0.6700,0.1788,0.9757,0.9969,0.6700,0.1788,1.0961,1.2071,0.0308,-0.9246
90,0.9345,0.9345,0.0746,0.9736,0.9758,0.9966,0.6704,0.1702,0.9758,0.9966,0.6704,0.1702,1.0958,1.2054,0.0285,-0.9177
91,0.9344,0.9344,0.0767,0.9736,0.9759,0.9971,0.6668,0.1774,0.9759,0.9971,0.6668,0.1774,1.0950,1.2072,0.0256,-0.9234
92,0.9354,0.9354,0.0726,0.9723,0.9769,0.9970,0.6710,0.1831,0.9769,0.9970,0.6710,0.1831,1.0940,1.2041,0.0285,-0.9161
93,0.9344,0.9344,0.0722,0.9746,0.9751,0.9967,0.6715,0.1723,0.9751,0.9967,0.6715,0.1723,1.0962,1.2063,0.0324,-0.9343
94,0.9345,0.9345,0.0730,0.9731,0.9760,0.9968,0.6687,0.1673,0.9760,0.9968,0.6687,0.1673,1.0965,1.2051,0.0243,-0.9318
95,0.9345,0.9345,0.0774,0.9736,0.9763,0.9967,0.6682,0.1709,0.9763,0.9967,0.6682,0.1709,1.0960,1.2055,0.0283,-0.9298
96,0.9335,0.9335,0.0739,0.9700,0.9754,0.9965,0.6639,0.1788,0.9754,0.9965,0.6639,0.1788,1.0929,1.2034,0.0173,-0.9111
97,0.9345,0.9345,0.0746,0.9723,0.9755,0.9969,0.6690,0.1853,0.9755,0.9969,0.6690,0.1853,1.0952,1.2038,0.0262,-0.9269
98,0.9334,0.9334,0.0757,0.9710,0.9754,0.9965,0.6641,0.1673,0.9754,0.9965,0.6641,0.1673,1.0939,1.2044,0.0196,-0.9360
99,0.9351,0.9351,0.0735,0.9744,0.9764,0.9968,0.6707,0.1889,0.9764,0.9968,0.6707,0.1889,1.0980,1.2049,0.0282,-0.9173
100,0.9349,0.9349,0.0751,0.9751,0.9760,0.9971,0.6702,0.1774,0.9760,0.9971,0.6702,0.1774,1.0975,1.2064,0.0303,-0.9052
